Name;Str.;Hnr.;PLZ;Ort;Landkreis;Ansprechpartner;Tel.;Fax;E-Mail;Webseite;Kategorie;Angebote;"HTML-Inhalt ""weitere Infos""";lat;lng
"Pflegezentrum Nord Rostock, Gnoien";Mühlenstr.;3;18055;Rostock;"KS Rostock";;0381-37779055;;info@pflegezentrum-Nord.de;https://pflegezentrum-nord.de/betreuung/;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Zweigniederlassung Gnoien:<br /> Teterower Strasse 68<br /> 17179 Gnoien</p>";54.0873136;12.1457659
"Nicole Barkholz Rostock";Bienenweide;10;18059;Rostock;"KS Rostock";;"0173 3642495";;nicole.barkholz@googlemail.com;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.0607876;12.1154657
"Seniorenassistenz Britta Barendt Rostock";Pawlowstr.;20;18059;Rostock;"KS Rostock";;"0176 - 630 195 30";;info@seniorenassistenz-rostock.de;https://www.die-senioren-assistenten.de/britta-barendt/;"Unterstützung im Alltag";"Einzelbetreuung, Angebote für Senioren, Seniorenbegleiter";;54.0704598;12.1129813
"Senioren-Assistenz - Rita Waack Rostock";"Kröpeliner Str. ";90;18055;Rostock;"KS Rostock";;"0160 99138371";;seniorenassistenz-waack@web.de;https://www.die-senioren-assistenten.de/rita-waack/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Seniorenbegleiter";;54.0887372;12.1379776
"picobello Hauswirtschaft Rostock";"Schutowerstraße ";5;18069;Rostock;"KS Rostock";;038121081211;;info@picobello-hauswirtschaft.de;http://www.picobello-hauswirtschaft.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.1023972;12.0759335
"Ambulante Behindertenhilfe Caritas Rostock";August-Bebel-Str.;32b;18055;Rostock;"KS Rostock";;"0381 3711940";;fed-rostock@caritas-im-norden.de;https://www.caritas-mecklenburg.de/caritas-vor-ort/region-rostock/behinderung/demenz/demenz?searchterm=demenz;Beratung;"Demenzberatung, Betreuungsgruppe";"<p><strong>Ambulante Behindertenhilfe Rostock</strong><br /> Region Rostock</p> <p>Derzeit bieten wir in der Seniorenwohnanlage Brinckmansdorf sowie in Rostock Stadtmitte niedrigschwellige Gruppenangebote für Menschen mit Demenz sowie Beratung ihrer Angehörigen an.</p>";54.0848788;12.1326955
"Gabriele Greschkowitz Rostock";"Rahnstädter Weg";10;18069;Rostock;"KS Rostock";;"0172 3130983";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.1063155;12.0790887
"Sorglos Urlaub Rostock";"Grubestraße ";20d;18055;Rostock;"KS Rostock";;"0381 2523499";;info@sorglos-urlaub.de;https://www.sorglos-urlaub.de/home.html;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen, Urlaub";;54.0838949;12.1666436
"Loboclean Rostock";"Wismarsche Str.";27;18057;Rostock;"KS Rostock";;"0381 44685998 oder 0176 30185707";;info@loboclean.de;https://loboclean.de;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";"<p>Auch Hilfeleistungen bei wohnumfeldverbessernde Maßnahmen wie altersgerechte Umbauten, Rampen statt Stufen, Montage von Handläufen und Griffen (mit Unterstützung der Pflegekassen)</p>";54.0863409;12.1195771
"Rostocker Hilfsdienst Angela Werner";Hans-Sachs-Allee;39;18057;Rostock;"KS Rostock";;"0381 2008039";;werner@rostocker-hilfsdienst.de;https://www.rostocker-hilfsdienst.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.0886703;12.0954087
"Bodenanker - Praxis für Systemische Beratung und Stressbewältigung";Pappelallee;1;17489;Greifswald;"LK Vorpommern Greifswald";"Karin Wedig";"0151 50679576";;mail@bodenanker-greifswald.de;http://www.bodenanker-greifswald.de/;"Unterstützung im Alltag";Einzelbetreuung;;54.0873725;13.4143435
"Heinzelmännchen Anklam - Dienstleistungen";Schulstr.;5;17389;Anklam;"LK Vorpommern Greifswald";;"03971 830115";;info@heinzelmaennchen-ovp.de;https://www.heinzelmaennchen-ovp.de/;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.8558967;13.6917928
"Dienstleistungen Uta Kerinnes Rieth";"Dorfstr. ";38;17375;Rieth;"LK Vorpommern Greifswald";;03977526705;;hilfe@rieth.org;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.6943193;14.2577436
"Alltagshilfe Einzigartig Britta Lesch Ahlbeck";"Platz ";6;17375;Ahlbeck;"LK Vorpommern Greifswald";;"03977522893 und 0170-7535029";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.66656;14.1901285
"Picobello Steffi`s Alltagsbegleitung";Dorfstr.;78;17379;Rothemühl;"LK Vorpommern Greifswald";;015154611647;;s.borchardt88@gmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5967332;13.8174142
"André Wendler Brietzig";Starkshof;6;17309;Brietzig;"LK Vorpommern Greifswald";;"0152 21960095";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Fahrdienst";;53.4920309;13.8816472
"Wasch-Bärchen Grimmen";"Mozartstr. ";21;18507;Grimmen;"LK Vorpommern Rügen";;03832680586;;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.1002663;13.0307329
"VISION Hilfe zur Selbsthilfe Demmin";"Treptower Str.";35A;17109;Demmin;"LK Mecklenburgische Seenplatte";;"03998 209616";;kontakt@unserevision.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung im Alltag durch individuelle Hilfen";;53.9038557;13.0420992
"Alltagshilfe und Seniorenbegleitung Sonja Schnell Userin";"Strelitzer Str.";13;17237;Userin;"LK Mecklenburgische Seenplatte";;"0151 70304701";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3399768;12.9815186
"Hauswirtschaftliche Dienstleistungen Silvia Preuß Neustrelitz";"Stargarder Ring";2;17235;Neustrelitz;"LK Mecklenburgische Seenplatte";;"0171 9525018";;preuss.silvia@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3423771;13.0964813
"Familien- & Alltagsservice Neustrelitz";Ziegeleiweg;6;17235;Neustrelitz;"LK Mecklenburgische Seenplatte";;"0172 15747421";;fan.erdmann@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3487381;13.0858059
"Jutta Busch Groß Varchow";"Voßfelder Str.";24;17219;"Groß Varchow";"LK Mecklenburgische Seenplatte";;"0176 61113675";;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5753726;12.942892
"Team Hase - Woldegk";Mühlenblick;4;17348;Woldegk;"LK Mecklenburgische Seenplatte";;"03963 2549944";;info@team-hase.de;https://team-hase.de/index.html;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4641839;13.5629994
"Akkurat Hauswirtschaftsservice Feldberg";"An de Kirche";8;17258;"Feldberger Seelandschaft OT Krumbeck";"LK Mecklenburgische Seenplatte";;"03964 25667";;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.4038636;13.4479439
"Lebenswerk MV";Parkallee;28;17192;"Groß Plasten";"LK Mecklenburgische Seenplatte";;"0162 9377763";;lebenswerk-mv@mail.de;https://www.lebenswerk-mv.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5446563;12.850753
"Amb. Betreuungsservice Susan Eichloff Penzlin";Carlstein;3;17217;"Penzlin / Klein Lukow";"LK Mecklenburgische Seenplatte";;"0177 8486886";;;;"Unterstützung im Alltag";"Entlastung von Pflegenden";;53.5504228;13.0389788
"Kirstin Drochner Neubrandenburg";Schillerstr.;18;17033;Neubrandenburg;"LK Mecklenburgische Seenplatte";;"0176 57898537";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5536192;13.251587
"Silke Diebermann Güstrow";Weinbergstraße;21;18273;Güstrow;"LK Rostock";;03843-840009;;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.7827258;12.1800962
"Familien und Seniorenhilfe Birgit Dargel Wismar";Franz-Liszt-Str.;3;23968;Wismar;"LK Nordwestmecklenburg";;"03841396811 oder 0162 3094992";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.89552;11.42127
"Julia Weber, Rehna";Radegastweg;9;19217;Rehna;"LK Nordwestmecklenburg";;"0162 3274474";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.7677015;11.054999
"Mecklenburger Hauswirtschaft, Warin";Schulstr.;11;19417;Warin;"LK Nordwestmecklenburg";"Jutta Meyer";"038482 61887";;meckhawi@t-online.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Verfügbar in Schwerin &amp; Umland, Warin und umliegende Gemeinden,  Altkreis Sternberg</p>";53.8033155;11.596662
"Seniorenstube Grenzenlos Moraas";"Jasnitzer Weg";5;19230;Moraas;"LK Ludwigslust-Parchim";;"03883 517702";;seniorenstube-moraas@gmx.de;http://seniorenstuben.de/;"Unterstützung im Alltag";"Einzelbetreuung, Verhinderungspflege";;53.4181621;11.3013878
"Simone Köhler, Rastow";Koppelweg;16;19077;Rastow;"LK Ludwigslust-Parchim";;01744330837;;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.4618955;11.4252602
"Seniorenbetreuung & hauswirtschaftliche Dienstleistungen Andy Maack Lübesse";"Grüne Straße";9;19077;Lübesse;"LK Ludwigslust-Parchim";;"038758 351495";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4887769;11.4610474
"UNA e.V. Schwerin Sternberg";Ziolkowskistraße;16a;19063;Schwerin;"KS Schwerin";;"0385 6767976";;info@una-ev.de;https://www.una-ev.com/leistungen/menschen-im-alter/;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen, Kurzzeitpflege, Verhinderungspflege";"<p>Der <strong>una e.V.</strong> ist ein gemeinnütziger Verein für Menschen mit Behinderung, pflegebedürftige Senioren und Menschen, die an Demenz erkrankt sind. Er arbeitet im Raum Schwerin/ Hagenow und Sternberg/ Güstrow.</p> <p>Senioren können sich an uns wenden, wenn Sie im Alltag Hilfe und Unterstützung brauchen und wenn Sie körperlich nicht mehr in der Lage sind, einfache Verrichtungen des täglichen Lebens selbständig auszuführen.</p> <p>Familienangehörige oder pflegende Angehörige können sich an uns wenden, wenn Sie zeitweise von der Pflege- und Betreuungsverantwortung entlastet werden wollen.</p> <p>Betreuungsgruppe Sternberg:<br /> Am Markt 4, 19406 Sternberg<br /> sternberg@una-ev.de<br /> Tel. 03847 4368300</p>";53.5954819;11.4713741
"Hanse Samariter Team Stralsund";Mönchstraße;8a;18439;Stralsund;"LK Vorpommern Rügen";;"03831 346126";;hsteam@t-online.de;https://www.hansesamariterteam.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>24 Stunden &#8211; mit Nachtdienst vor Ort &#8211; erreichbar</p>";54.3149548;13.0884907
"AWO Senioren-Tagespflege Tribsees";Verbindungsweg;35;18456;Tribsees;"LK Vorpommern Rügen";"Frau Swientek";"038320 717781";;seniorentagespflege-tribsees@awo-vorpommern.de;https://www.awo-vorpommern.de/senioren-tagespflege-tribsees.html;Pflege;Tagespflege;;54.0903211;12.7589827
"AWO Senioren-Tagespflege Forsthaus Stralsund";"Wamper Weg";7;18439;Stralsund;"LK Vorpommern Rügen";;"03831 3092770";;seniorentagespflege-stralsund@awo-vorpommern.de;https://www.awo-vorpommern.de/senioren-tagespflege-stralsund.html;Pflege;Tagespflege;"<h4>Wir sind in der Zeit von Montag bis Freitag von 8.00 Uhr bis 16.00 Uhr für Sie da.</h4>";54.2817254;13.1040425
"Pflegedienst Dagmar Prettin";Heinrich-Heine-Ring;105;18435;Stralsund;"LK Vorpommern Rügen";;"03831 3047914";;d.prettin-pflegedienst@t-online.de;https://www.pflegedienst-prettin.de/;"Unterstützung im Alltag";"Entlastung von Pflegenden, Tagespflege, Verhinderungspflege, Wohngemeinschaft für Menschen mit Demenz";;54.3271385;13.0555009
"DRK Tagespflege ""Lebensweg"" Stralsund";"Lübecker Allee";51;18437;Stralsund;"LK Vorpommern Rügen";"Simone Leitner";"03831 2034428";;tagespflege-hst@drk-ruegen-stralsund.de;https://www.drk-ruegen-stralsund.de/news/meldung/drk-tagespflege-lebensweg-bietet-hilfe.html;Pflege;Tagespflege;;54.3062568;13.0324396
"Hestia Pflegeservice Stralsund";Schillstraße;"39 / 39a";18439;Stralsund;"LK Vorpommern Rügen";;"03831 308005";;info@hestia-hst.de;http://www.hestia-hst.de/de/ambulante-dienste/ambulanter-pflegedienst.html;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Verhinderungspflege, Angebote für Senioren";;54.3162351;13.0879165
"Tagespflege ""Pommernhus"" Volkssolidarität Grimmen";Innenring;2;18507;Grimmen;"LK Vorpommern Rügen";;"038326 4553817";;tagespflege-grimmen@volkssolidaritaet.de;https://vs-nordost.de/leistungsangebot/pflege/tagespflege-grimmen/;Pflege;"Tagespflege, Angebote für Senioren";"<p>Mo. bis Fr. von 8 bis 16 Uhr</p>";54.1004524;13.0397422
"Tagespflege ""Knieperdamm"" Volkssolidarität Stralsund";Knieperdamm;12;18435;Stralsund;"LK Vorpommern Rügen";;"03831 2839911";;tagespflege-stralsund@volkssolidaritaet.de;https://vs-nordost.de/leistungsangebot/pflege/tagespflege-stralsund/;Pflege;"Tagespflege, Angebote für Senioren";"<p>Mo. bis Fr. von 8 bis 16 Uhr</p>";54.3216077;13.0798569
"Tagespflege ""Flaschenpost"" Bergen";"Straße der DSF";63a;18528;"Bergen auf Rügen";"LK Vorpommern Rügen";;"03838 8228645";;info@tagespflege-bergen.de;;Pflege;Tagespflege;;54.4090081;13.4381786
"DRK Tagespflege Bergen";Kosmonautenweg;4;18528;"Bergen auf Rügen";"LK Vorpommern Rügen";;"03838 255731";;tagespflege@drk-ruegen-stralsund.de;https://www.drk-ruegen-stralsund.de/tagespflege-bergen.html;Pflege;Tagespflege;"<p>Telefon Mobil 0172 3246513</p>";54.4081667;13.4323785
"Ambulanter Pflegedienst Rügen";Ladestr.;1;18528;"Bergen auf Rügen";"LK Vorpommern Rügen";;"03838 828299";;info@pflegedienst-ruegen.de;https://pflegedienst-ruegen.de/;Pflege;"Begegnung (MGH)";;54.4218107;13.4140137
"Caluzule - tiergestützte Therapie, Sundhagen";Bremerhagen;39;18519;Sundhagen;"LK Vorpommern Rügen";;"01525 70 100 96";;reitpaedagogik.cf@gmail.com;http://caluzule.com.de/;"Tiergestützte Therapie";"Tiergestützte Therapie, Entlastung im Alltag durch individuelle Hilfen";;54.1498626;13.1486902
"Ostseesattel: tiergestützte Therapie Lubmin";"Wusterhusener Straße";34;17509;Lubmin;"LK Vorpommern Rügen";;"038354 36493";;reiten@ostseesattel.com;http://www.ostseesattel.com/;"Tiergestützte Therapie";"Tiergestützte Therapie, Entlastung im Alltag durch individuelle Hilfen";;54.1291476;13.6127387
"Betreuungs- und Pflegeservice Monika Stolzenburg";Ringstraße;1;18445;Preetz;"LK Vorpommern Rügen";;"0176 80205881";;;;"Unterstützung im Alltag";Einzelbetreuung;;54.3480904;13.0103153
"Ricarda Lingrön Prohn";Driftweg;24;18445;Prohn;"LK Vorpommern Rügen";;"0162 6816388";;;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.3658427;13.0198557
"Betreutes Wohnen ""Am Sonnenhügel"" Stralsund";Weißdornweg;1;18439;Stralsund;"LK Vorpommern Rügen";;"03831 305085";;;http://www.stralsund-betreutes-wohnen.de/;"Unterstützung im Alltag";"Betreuungsgruppe, Einzelbetreuung, Entlastung im Alltag durch individuelle Hilfen";"<p>Mobil-Telefon 0162 1002999</p>";54.2709467;13.1072085
"Land & Leben Pflege und Service Silvia Saathoff Gingst";"Ummanzer Chaussee";5;18569;Gingst;"LK Vorpommern Rügen";;"038305 539002 oder 0152 36818351";;;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.4530683;13.2540893
"Seniorenbegleitdienst Schwester Daniela in Putbus";Beuchow;8;18581;"Putbus OT Beuchow";"LK Vorpommern Rügen";"Daniela Berndt";"038301 882490";;begleitdienst-daniela@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag durch individuelle Hilfen";"<p>Mobil-Telefon 0152 29658790</p>";54.3610317;13.503314
"Tagespflege ""de gaude Stuuv"" Karow";"Karl-Liebknecht- Str.";3;19395;"Plau am See / OT Karow";"LK Ludwigslust-Parchim";;"038738 139863";;info@de-gaude-stuuv.de;http://www.de-gaude-stuuv.de/;Pflege;Tagespflege;;53.5404927;12.2685056
"Johanniter Tagespflege Plate";"Am Sportplatz";16;19086;Plate;"LK Ludwigslust-Parchim";;"03861 501587 ";;tagespflege-plate@johanniter.de;https://www.johanniter.de/juh/lv-nord/rv-mecklenburg-vorpommern-west/unsere-standorte-einrichtungen-in-mecklenburg-vorpommern-west/;Pflege;"Tagespflege, Verhinderungspflege";"<p>Möglichst lange in seiner vertrauten Umgebung zu bleiben ist der Wunsch vieler pflegebedürftigen Menschen im Alter. Unsere Johanniter-Tagespflegeeinrichtung in Plate hilft dabei, diesen Wunsch zu realisieren. In angenehmer, freundlicher und wohnlicher Atmosphäre betreuen wir bis zu 18 Gäste mit körperlichen und/oder psychischen Einschränkungen. Unsere Einrichtung ist behindertengerecht eingerichtet und der hübsch angelegte Garten lädt zu Spaziergängen und Ruhepausen ein. Sie können an unseren vielfältigen Beschäftigungsangeboten teilnehmen oder in unseren Ruheräumen entspannen.</p> <p>Unser benachbartes Johanniterhaus bietet vier barrierefreie Wohnungen für das Betreute Wohnen. Alle Wohnungen besitzen eine Einbauküche und sind mit einer Terrasse oder einem Balkon ausgestattet. In das obere Stockwerk gelangen Sie komfortabel mit einem Fahrstuhl. Als Bewohner im Betreuen Wohnen können Sie gern an Angeboten unserer Tagespflege teilnehmen.</p>";53.5538056;11.4985858
"Pflege- und Fahrdienst Dabel - Tagespflege";"Zu den Achtertannen";2;19406;Dabel;"LK Ludwigslust-Parchim";;"038485 50 72 52";;tagespflege@pflegedienst-dabel.de;http://www.pflegedienst-dabel.de/;Pflege;Tagespflege;;53.6574437;11.9036673
"Tagespflege der Volkssolidarität Ludwigslust";"Am Alten Forsthof";8;19288;Ludwigslust;"LK Ludwigslust-Parchim";;"03874 5703223";;tagespflege-ludwigslust@vs-swm.de;https://vs-swm.de/einrichtungen/pflege/tagespflege-ludwigslust/;Pflege;"Tagespflege, Angebote für Senioren";"<p>Im historischen Alten Forsthof in Ludwigslust fühlen sich bis zu 21 Senioren in der Tagespflege gut betreut. Sie können auch die Angebote der Begegnungsstätte nutzen.</p> <p>Öffnungszeiten:<br /> Montag bis Freitag von 8 bis 16 Uhr<br /> Sonnabend von 8 bis 13 Uhr<br /> auch an Heilig Abend und Silvester</p>";53.3305024;11.4941672
"Tagespflege Henning - Grabow";Binnung;1a;19300;Grabow;"LK Ludwigslust-Parchim";;"038756 567050";;tagespflege-grabow@pflegehenning.de;https://pflegehenning.de/tagespflege/;Weiterbildung;"Weiterbildung, Demenzberatung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Tagespflege, Verhinderungspflege";"<p>Grabower Pflegedienst Henning</p> <p>&#8211; Betreuung</p> <p>&#8211; Entlastung von Angehörigen</p> <p>&#8211; Hauswirtschaft</p> <p>&nbsp;</p> <p>Verhinderungspflege in der Tagespflege auch am Wochenende und nach Vereinbarung</p> <p>Schulung zum Thema Pflege und Umgang mit Menschen mit Demenz</p>";53.275669;11.562045
"Lewitz Pflegedienst Plate";"Störstraße ";2;19086;Plate;"LK Ludwigslust-Parchim";;"03861 303900";;info@lewitz-pflegedienst.de;https://lewitz-pflegedienst.de/;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Tagespflege, Wohngemeinschaft für Menschen mit Demenz";"<p>Wohngemeinschaft für Menschen mit Demenz in Banzkow</p> <p>&nbsp;</p>";53.5521337;11.4996916
"Tagespflege ""Zur Sonnenblume"" Wöbbelin";"Schweriner Straße";1;19288;Wöbbelin;"LK Ludwigslust-Parchim";;"038753 88536";;pflegeteam-woebbelin@arcor.de;;Pflege;Tagespflege;;53.4002915;11.5037427
"Tagespflege ""Wiesenblick"" Groß Laasch";"Ludwigsluster Str.";80;19288;"Groß Laasch";"LK Ludwigslust-Parchim";;"03874 5705622";;kontakt@tagespflegetiede.de;https://tagespflegetiede.de/;Pflege;Tagespflege;;53.3465215;11.553866
"Tagespflege ""Molkereistraße"" Crivitz";Molkereistr.;9;19089;Crivitz;"LK Ludwigslust-Parchim";;"03863 522678";;tagespflege@sozialstation-crivitz.de;https://sozialstation-crivitz.de/node/42;Pflege;Tagespflege;;53.5741395;11.6453732
"Tagespflege Lenz - Berge";Lindenplatz;1a;19348;Berge;;;"038785 901078";;info@pflegedienst-lenz.de;https://pflegedienst-lenz.de/tagespflege;Pflege;Tagespflege;"<p>Die Tagespflege hat montags &#8211; freitags von 06.00 &#8211; 17.00 Uhr geöffnet.</p>";53.2364581;11.8644356
"Tagespflege Lübz";Blücherstr.;21a;19386;Lübz;"LK Ludwigslust-Parchim";;"0176 51549613";;luebzertagespflege@outlook.de;http://www.luebzer-tagespflege.de/;Pflege;Tagespflege;;53.4645397;12.0395663
"Senioren-Tagesstätte im Gutshaus Zachow";"Siggelkower Weg";2;19376;"Ruhner Berge / OT Zachow";"LK Ludwigslust-Parchim";;"038729 224122";;mail@setaza.de;http://www.setaza.de/;Pflege;Tagespflege;;53.3629342;11.8864588
"Tagespflege Klönsnack Siggelkow";"Am Klosterhof";2;19376;Siggelkow;"LK Ludwigslust-Parchim";;"038724 159 823";;tagespflege.siggelkow@gmail.com;https://tagespflege-siggelkow.de/;Pflege;Tagespflege;"<p>Montag bis Freitag<br /> von 8.00 – 16.00 Uhr</p>";53.3853624;11.9392296
"Tagespflege ""Leuchtturm"" Volkssolidarität Plau am See";"Am Köpken";35;19395;"Plau am See";"LK Ludwigslust-Parchim";;"038735 947205";;tagespflege-plau@volkssolidaritaet.de;https://www.volkssolidaritaet-parchim.de/index.php/tagespflege-plau;Pflege;Tagespflege;;53.4660393;12.2651615
"Tagespflege der Volkssolidarität Sonnenstrahl";Otto-Grotewohl-Str.;12-15;19370;Parchim;"LK Ludwigslust-Parchim";;"03871 4689750";;tagespflege-parchim@volkssolidaritaet.de;https://www.volkssolidaritaet-parchim.de/index.php/component/content/article/tagespflege-parchim?catid=11&Itemid=391;Pflege;Tagespflege;"<p>Wir zaubern Sonnenstrahlen in ihr Herz.<br /> Wenn Sie tagsüber nicht alleine sein ​wollen oder können,<br /> kommen Sie zu uns.<br /> Wir freuen uns auf Sie.</p>";53.4258257;11.8263822
"Tagespflege des DRK Neubukow";Wollenweberstr.;9;18233;Neubukow;"LK Rostock";;"038294 163112";;tagespflege@drk-dbr.de;https://www.drk-dbr.de/angebote/alltagshilfen/unsere-tagespflegen.html;Pflege;Tagespflege;;54.03276;11.6702616
"Tagespflege der AWO Mueßer Holz";Justus-von-Liebig-Str.;29;19063;Schwerin;"KS Schwerin";;"0385 208 100";;info@awo-schwerin.de;https://www.awo-schwerin.de/tagespflege-muesser-holz.html;Pflege;Tagespflege;;53.594156;11.4675411
"Tagespflege der AWO Grevesmühlen";Maxim-Gorki-Str.;3a;23936;Grevesmühlen;"LK Nordwestmecklenburg";;"03881 7591443";;tagespflege@awo-grevesmuehlen.de;https://www.awo-schwerin.de/tagespflege-grevesmuehlen.html;Pflege;Tagespflege;;53.8602313;11.1793886
"Tagespflege der AWO am Dreescher Markt Schwerin";"Dreescher Markt";1;19061;Schwerin;"KS Schwerin";;"0385 3041588";;tagespflege@awo-schwerin.de;https://www.awo-schwerin.de/fachbereiche/senioren-und-pflege/tagespflege/tagespflege-dreescher-markt;Pflege;Tagespflege;;53.6037633;11.43272
"Tagespflege Ostseetreff Blowatz";"Damekower Weg";"1 -3";23974;Blowatz;"LK Nordwestmecklenburg";"Ute Schmidt";"038427 409999";;info@pd-ute-schmidt.de;https://pd-ute-schmidt.de/;Pflege;Tagespflege;;53.9900508;11.5347054
"Haus Lethe Kalsow";Kalsow;17;23970;"Benz / OT Kalsow";"LK Nordwestmecklenburg";;"038426 227825";;;https://pd-hocke.de/haus-lethe/;Kurzzeitpflege;"Kurzzeitpflege, Verhinderungspflege, Wohngemeinschaft für Menschen mit Demenz";;;
"Tagespflege ""Sonnenblume"" Kalsow";Kalsow;13;23970;"Benz / OT Kalsow";"LK Nordwestmecklenburg";;"038426 22677";;;https://pd-hocke.de/tagespflege/;Pflege;Tagespflege;;;
"Tagespflege im Pflegezentrum ""Lübsche Burg"" Wismar";"Lübsche Burg";2;23966;Wismar;"LK Nordwestmecklenburg";;"03841 304290";;info@pflegeheim-wismar.de;https://www.altenheim-wismar.de/unsere-h%C3%A4user/l%C3%BCbsche-burg/tagespflege;Pflege;Tagespflege;;53.8933144;11.4296117
"Tagespflege ""Hameyer"" Wismar";Großschmiedestraße;11-17;23966;Wismar;"LK Nordwestmecklenburg";;03841/2487161;;info@ambulantis.de;https://www.ambulantis.de/hameyer/startseite-hameyer;Pflege;Tagespflege;"<p>Öffnungszeiten von 9 bis 17 Uhr auch an Wochenenden und Feiertagen</p>";53.8912948;11.4681379
